,conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
10000,hit:1660_conv:3321,3,confident,I know that Trump will win reelection.,4,Sad? I am so happy_comma_ I love him.,5|5|5_5|5|5,
10001,hit:1660_conv:3321,4,confident,I know that Trump will win reelection.,27,Congratulations. We don't share the same sentiment.,5|5|5_5|5|5,
10002,hit:1661_conv:3322,1,jealous,My brother just got a new job_comma_ and he and his family are moving into a bigger house in a nicer city. Kind of wish I had his success right now_comma_ but I'm struggling to remain proud of him too. I don't want to make it all about me.,273,My brother just got a new job_comma_ and he and his family are moving into a bigger house in a nicer city. Kind of wish I had his success right now_comma_ but I'm struggling to remain proud of him too. I don't want to make it all about me.,3|3|3_5|5|5,
10003,hit:1661_conv:3322,2,jealous,My brother just got a new job_comma_ and he and his family are moving into a bigger house in a nicer city. Kind of wish I had his success right now_comma_ but I'm struggling to remain proud of him too. I don't want to make it all about me.,9,Have you asked him how he feels about that entire situation?,3|3|3_5|5|5,
10004,hit:1661_conv:3322,3,jealous,My brother just got a new job_comma_ and he and his family are moving into a bigger house in a nicer city. Kind of wish I had his success right now_comma_ but I'm struggling to remain proud of him too. I don't want to make it all about me.,273,He's excited_comma_ of course. But I'm sure he's nervous_comma_ too. I watched him during the job search process--it took a while. So I know he's relieved_comma_ which I'm happy about_comma_ too.,3|3|3_5|5|5,
10005,hit:1661_conv:3322,4,jealous,My brother just got a new job_comma_ and he and his family are moving into a bigger house in a nicer city. Kind of wish I had his success right now_comma_ but I'm struggling to remain proud of him too. I don't want to make it all about me.,9,Life is a scary place_comma_ anything could happen at any time.,3|3|3_5|5|5,
10006,hit:1661_conv:3323,1,lonely,Every  Thanksgiving i eat alone.,9,Every single thanksgiving_comma_ I eat alone.,5|5|5_3|3|3,
10007,hit:1661_conv:3323,2,lonely,Every  Thanksgiving i eat alone.,273,Really? That's one of the saddest things I've heard in a while. I'm sorry to hear that. What happened to your family_comma_ if you don't mind me asking?,5|5|5_3|3|3,
10008,hit:1661_conv:3323,3,lonely,Every  Thanksgiving i eat alone.,9,They all died when i was much younger.,5|5|5_3|3|3,
10009,hit:1661_conv:3323,4,lonely,Every  Thanksgiving i eat alone.,273,I am terribly sorry to hear that. You've got to be really resilient to deal with that. Maybe you could volunteer at a soup kitchen during Thanksgiving so you could have a chance to be around others?,5|5|5_3|3|3,
10010,hit:1662_conv:3324,1,furious,My little sister caught off a chunk of my hair when I was sleeping last night. She did it because I came up with a fun but mean nickname for her the day before. But that was way over the line! ,273,My little sister caught off a chunk of my hair when I was sleeping last night. She did it because I came up with a fun but mean nickname for her the day before. But that was way over the line!,3|3|3_5|5|5,
10011,hit:1662_conv:3324,2,furious,My little sister caught off a chunk of my hair when I was sleeping last night. She did it because I came up with a fun but mean nickname for her the day before. But that was way over the line! ,4,Did you do anything after she did it?,3|3|3_5|5|5,
10012,hit:1662_conv:3324,3,furious,My little sister caught off a chunk of my hair when I was sleeping last night. She did it because I came up with a fun but mean nickname for her the day before. But that was way over the line! ,273,No_comma_ because I didn't want to escalate it further. My parents punished her_comma_ but I felt like she got off lightly. All she got was being grounded for a week and her phone taken away for that same time period. Oh well.,3|3|3_5|5|5,
10013,hit:1662_conv:3324,4,furious,My little sister caught off a chunk of my hair when I was sleeping last night. She did it because I came up with a fun but mean nickname for her the day before. But that was way over the line! ,4,I have never had siblings_comma_ so not sure what to tell ya.,3|3|3_5|5|5,
10014,hit:1662_conv:3325,1,afraid,I do not like being around bats.,4,I do not like being around bats.,5|5|5_3|3|3,
10015,hit:1662_conv:3325,2,afraid,I do not like being around bats.,273,Why's that? Did you specifically have a bad experience with them_comma_ or just assume they're terrible no matter what?,5|5|5_3|3|3,
10016,hit:1662_conv:3325,3,afraid,I do not like being around bats.,4,Yes_comma_ once when I was trapped in a cave.,5|5|5_3|3|3,
10017,hit:1662_conv:3325,4,afraid,I do not like being around bats.,273,Trapped in a cave? I couldn't handle that. I'm claustrophobic. I'd freak out in a second. How long were you trapped for?,5|5|5_3|3|3,
10018,hit:1663_conv:3326,1,devastated,Someone spray-painted my car last night_comma_ wrote some curse word. I have no idea why_comma_ since i have no enemies. I don't understand how people can treat others like that.,273,Someone spray-painted my car last night_comma_ wrote some curse word. I have no idea why_comma_ since i have no enemies. I don't understand how people can treat others like that.,3|3|3_5|5|5,
10019,hit:1663_conv:3326,2,devastated,Someone spray-painted my car last night_comma_ wrote some curse word. I have no idea why_comma_ since i have no enemies. I don't understand how people can treat others like that.,27,Some people are just cruel.,3|3|3_5|5|5,
10020,hit:1663_conv:3326,3,devastated,Someone spray-painted my car last night_comma_ wrote some curse word. I have no idea why_comma_ since i have no enemies. I don't understand how people can treat others like that.,273,Yeah_comma_ there's no making sense of it. But now I have to go out of my budget to fix this mistake when it shouldn't have been my problem in the first place. And I have no one to take my anger out on or to get justice from. I didn't even bother calling the police.,3|3|3_5|5|5,
